注册证,注册人员,企业名称
一级注册建筑师,5.0,中恒工程设计院有限公司
二级注册建筑师,2.0,中恒工程设计院有限公司
一级注册结构工程师,5.0,中恒工程设计院有限公司
注册土木工程师（岩土）,1.0,中恒工程设计院有限公司
注册公用设备工程师（暖通空调）,2.0,中恒工程设计院有限公司
注册公用设备工程师（给水排水）,8.0,中恒工程设计院有限公司
注册公用设备工程师（动力）,2.0,中恒工程设计院有限公司
注册电气工程师（供配电）,3.0,中恒工程设计院有限公司
一级注册建造师,3.0,中恒工程设计院有限公司
二级注册建造师,1.0,中恒工程设计院有限公司
注册造价工程师,3.0,中恒工程设计院有限公司
